Node 40 final: rounds=10, multicasts=1, min_time=14 (7), avg_time=91.20, max_time=353 (2)
Node 41 final: rounds=10, multicasts=1, min_time=14 (7), avg_time=91.20, max_time=346 (2)
Node 42 final: rounds=10, multicasts=1, min_time=14 (7), avg_time=91.20, max_time=340 (2)
Node 43 final: rounds=10, multicasts=1, min_time=14 (7), avg_time=91.20, max_time=345 (2)
Node 44 final: rounds=10, multicasts=2, min_time=14 (9), avg_time=91.20, max_time=345 (2)
Node 45 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.20, max_time=344 (2)
Node 46 final: rounds=10, multicasts=2, min_time=13 (10), avg_time=91.20, max_time=338 (2)
Node 47 final: rounds=10, multicasts=2, min_time=14 (10), avg_time=91.30, max_time=336 (2)
Node 48 final: rounds=10, multicasts=1, min_time=14 (10), avg_time=91.30, max_time=335 (2)
Node 49 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=328 (2)
Node 50 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=321 (2)
Node 51 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=325 (2)
Node 52 final: rounds=10, multicasts=0, min_time=14 (9), avg_time=91.30, max_time=318 (2)
Node 53 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=318 (2)
Node 54 final: rounds=10, multicasts=2, min_time=14 (9), avg_time=91.30, max_time=324 (2)
Node 55 final: rounds=10, multicasts=2, min_time=14 (9), avg_time=91.30, max_time=317 (2)
Node 56 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=311 (2)
Node 57 final: rounds=10, multicasts=0, min_time=14 (10), avg_time=91.30, max_time=303 (2)
Node 58 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=303 (2)
Node 59 final: rounds=10, multicasts=0, min_time=14 (9), avg_time=91.30, max_time=303 (2)
Node 60 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=303 (2)
Node 61 final: rounds=10, multicasts=3, min_time=14 (9), avg_time=91.30, max_time=308 (2)
Node 62 final: rounds=10, multicasts=2, min_time=14 (9), avg_time=91.40, max_time=306 (2)
Node 63 final: rounds=10, multicasts=3, min_time=14 (9), avg_time=91.40, max_time=305 (2)
Node 64 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=304 (2)
Node 65 final: rounds=10, multicasts=2, min_time=14 (9), avg_time=91.30, max_time=298 (2)
Node 66 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=297 (2)
Node 67 final: rounds=10, multicasts=1, min_time=13 (9), avg_time=91.30, max_time=290 (2)
Node 68 final: rounds=10, multicasts=0, min_time=14 (9), avg_time=91.30, max_time=291 (1)
Node 69 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=291 (1)
Node 70 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=299 (1)
Node 71 final: rounds=10, multicasts=0, min_time=14 (9), avg_time=91.30, max_time=299 (1)
Node 72 final: rounds=10, multicasts=2, min_time=14 (9), avg_time=91.40, max_time=299 (1)
Node 73 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.40, max_time=299 (1)
Node 74 final: rounds=10, multicasts=0, min_time=14 (9), avg_time=91.30, max_time=304 (1)
Node 75 final: rounds=10, multicasts=2, min_time=14 (9), avg_time=91.30, max_time=305 (1)
Node 76 final: rounds=10, multicasts=3, min_time=13 (9), avg_time=91.30, max_time=311 (1)
Node 77 final: rounds=10, multicasts=1, min_time=13 (9), avg_time=91.30, max_time=318 (1)
Node 78 final: rounds=10, multicasts=2, min_time=13 (9), avg_time=91.30, max_time=318 (1)
Node 79 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=318 (1)
Node 80 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.30, max_time=319 (1)
Node 81 final: rounds=10, multicasts=0, min_time=14 (9), avg_time=91.30, max_time=325 (1)
Node 82 final: rounds=10, multicasts=2, min_time=13 (9), avg_time=91.30, max_time=325 (1)
Node 83 final: rounds=10, multicasts=1, min_time=13 (9), avg_time=91.40, max_time=331 (1)
Node 84 final: rounds=10, multicasts=0, min_time=13 (9), avg_time=91.30, max_time=337 (1)
Node 85 final: rounds=10, multicasts=0, min_time=13 (9), avg_time=91.30, max_time=337 (1)
Node 86 final: rounds=10, multicasts=1, min_time=13 (9), avg_time=91.30, max_time=337 (1)
Node 87 final: rounds=10, multicasts=1, min_time=13 (9), avg_time=91.30, max_time=344 (1)
Node 88 final: rounds=10, multicasts=1, min_time=13 (9), avg_time=91.40, max_time=350 (1)
Node 89 final: rounds=10, multicasts=0, min_time=13 (9), avg_time=91.40, max_time=356 (1)
Node 90 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.40, max_time=356 (1)
Node 91 final: rounds=10, multicasts=1, min_time=13 (9), avg_time=91.50, max_time=356 (1)
Node 92 final: rounds=10, multicasts=1, min_time=13 (9), avg_time=91.40, max_time=355 (1)
Node 94 final: rounds=10, multicasts=2, min_time=13 (9), avg_time=91.40, max_time=361 (1)
Node 93 final: rounds=10, multicasts=2, min_time=13 (9), avg_time=91.40, max_time=355 (1)
Node 95 final: rounds=10, multicasts=2, min_time=13 (9), avg_time=91.40, max_time=366 (1)
Node 96 final: rounds=10, multicasts=2, min_time=13 (9), avg_time=91.50, max_time=366 (1)
Node 97 final: rounds=10, multicasts=0, min_time=13 (9), avg_time=91.50, max_time=372 (1)
Node 98 final: rounds=10, multicasts=2, min_time=14 (9), avg_time=91.60, max_time=372 (1)
Node 99 final: rounds=10, multicasts=1, min_time=14 (9), avg_time=91.60, max_time=377 (1)
Node 100 final: rounds=10, multicasts=0, min_time=14 (9), avg_time=91.60, max_time=382 (1)
Node 101 final: rounds=10, multicasts=1, min_time=13 (9), avg_time=91.70, max_time=382 (1)
Node 102 final: rounds=10, multicasts=1, min_time=13 (9), avg_time=91.70, max_time=387 (1)
Node 103 final: rounds=10, multicasts=0, min_time=13 (9), avg_time=91.70, max_time=392 (1)
Node 104 final: rounds=10, multicasts=1, min_time=13 (9), avg_time=91.70, max_time=392 (1)
Node 105 final: rounds=10, multicasts=1, min_time=13 (9), avg_time=91.70, max_time=398 (1)
Node 106 final: rounds=10, multicasts=2, min_time=13 (9), avg_time=91.60, max_time=402 (1)
Node 107 final: rounds=10, multicasts=0, min_time=13 (9), avg_time=91.60, max_time=408 (1)
Node 108 final: rounds=10, multicasts=1, min_time=12 (9), avg_time=91.60, max_time=408 (1)
Node 109 final: rounds=10, multicasts=0, min_time=12 (9), avg_time=91.60, max_time=413 (1)
